model,FHV_pct,FLV_pct,FLV_epsilon_mm_h
lstm,-18.002013509664657,28.730436328682046,1e-08
lstm,-18.002013509664657,26.476232635491247,1e-06
lstm,-18.002013509664657,19.7385018435408,0.0001
am,-12.858519545879293,-27.40414711266553,1e-08
am,-12.858519545879293,-37.02318738145112,1e-06
am,-12.858519545879293,-71.4244145345929,0.0001
cnn,-20.704626315056196,-28.472319778368373,1e-08
cnn,-20.704626315056196,-37.70239247201973,1e-06
cnn,-20.704626315056196,-70.45340625760794,0.0001
gnn,-18.506929492556964,10.914641952005335,1e-08
gnn,-18.506929492556964,6.3368288436887745,1e-06
gnn,-18.506929492556964,-9.124166820382385,0.0001
fdmlp,-16.69461236912588,-11.054356463268293,1e-08
fdmlp,-16.69461236912588,-17.3475373159525,1e-06
fdmlp,-16.69461236912588,-38.899625361337,0.0001
fdmlp_lineal,-14.477076279427655,11.802093812046651,1e-08
fdmlp_lineal,-14.477076279427655,7.981928412290277,1e-06
fdmlp_lineal,-14.477076279427655,-4.4615308978375845,0.0001
lstm_uni,-20.894160826720363,-32.45493986320425,1e-08
lstm_uni,-20.894160826720363,-43.68403651040409,1e-06
lstm_uni,-20.894160826720363,-84.4085328472955,0.0001
mlp,-19.037904560499843,11.215194713805003,1e-08
mlp,-19.037904560499843,8.18071726653847,1e-06
mlp,-19.037904560499843,-1.0680975031809006,0.0001
fdmlp_residual,-17.92441853423988,45.61829570419161,1e-08
fdmlp_residual,-17.92441853423988,44.83367208204881,1e-06
fdmlp_residual,-17.92441853423988,43.38678399447797,0.0001
mlp_residual,-17.81966200977525,19.88150669883257,1e-08
mlp_residual,-17.81966200977525,16.84250255009986,1e-06
mlp_residual,-17.81966200977525,7.266663994566957,0.0001
persistencia,3.112371898907114,0.11664082018549533,1e-08
persistencia,3.112371898907114,0.061263510390324384,1e-06
persistencia,3.112371898907114,-0.010785318372382391,0.0001
